Date,difficulty,market-price
2011-12-23T00:00:00,1155038.33396364,3.98
2011-12-27T00:00:00,1159929.49722438,4.25
2011-12-31T00:00:00,1159929.49722438,4.47
2012-01-04T00:00:00,1159929.49722438,5.37
2012-01-08T00:00:00,1159929.49722438,7.06
2012-01-12T00:00:00,1250757.73927466,7.1
2012-01-16T00:00:00,1250757.73927466,7.04
2012-01-20T00:00:00,1250757.73927466,6.37
2012-01-24T00:00:00,1307728.36060407,6.47
2012-01-28T00:00:00,1307728.36060407,5.7
2012-02-01T00:00:00,1307728.36060407,5.65
2012-02-05T00:00:00,1379647.43921429,5.99
2012-02-09T00:00:00,1379647.43921429,5.84
2012-02-13T00:00:00,1379647.43921429,5.82
2012-02-17T00:00:00,1379647.43921429,4.74
2012-02-21T00:00:00,1376302.26788638,4.5
2012-02-25T00:00:00,1376302.26788638,5.17
2012-02-29T00:00:00,1376302.26788638,4.98
2012-03-04T00:00:00,1496978.59502557,4.81
2012-03-08T00:00:00,1496978.59502557,5.05
2012-03-12T00:00:00,1496978.59502557,4.98
2012-03-16T00:00:00,1498294.36281651,5.44
2012-03-20T00:00:00,1498294.36281651,5.23
2012-03-24T00:00:00,1498294.36281651,4.81
2012-03-28T00:00:00,1498294.36281651,4.77
2012-04-01T00:00:00,1626553.48132894,4.94
2012-04-05T00:00:00,1626553.48132894,4.96
2012-04-09T00:00:00,1626553.48132894,4.8
2012-04-13T00:00:00,1577913.48567673,4.97
2012-04-17T00:00:00,1577913.48567673,4.99
2012-04-21T00:00:00,1577913.48567673,5.24
2012-04-25T00:00:00,1577913.48567673,5.19
2012-04-29T00:00:00,1508589.67206029,5.09
2012-05-03T00:00:00,1508589.67206029,5.18
2012-05-07T00:00:00,1508589.67206029,5.1
2012-05-11T00:00:00,1733207.51384839,5.1
2012-05-15T00:00:00,1733207.51384839,5.05
2012-05-19T00:00:00,1733207.51384839,5.13
2012-05-23T00:00:00,1733207.51384839,5.13
2012-05-27T00:00:00,1591074.96184731,5.15
2012-05-31T00:00:00,1591074.96184731,5.18
2012-06-04T00:00:00,1591074.96184731,5.27
2012-06-08T00:00:00,1591074.96184731,5.56
2012-06-12T00:00:00,1583177.84744401,5.58
2012-06-16T00:00:00,1583177.84744401,6.27
2012-06-20T00:00:00,1726566.55919348,6.56
2012-06-24T00:00:00,1726566.55919348,6.64
2012-06-28T00:00:00,1726566.55919348,6.58
2012-07-02T00:00:00,1726566.55919348,6.71
2012-07-06T00:00:00,1751454.53534068,6.76
2012-07-10T00:00:00,1751454.53534068,6.98
2012-07-14T00:00:00,1751454.53534068,7.85
2012-07-18T00:00:00,1866391.30500321,9.47
2012-07-22T00:00:00,1866391.30500321,9.53
2012-07-26T00:00:00,1866391.30500321,8.8
2012-07-30T00:00:00,2036671.08869332,8.95
2012-08-03T00:00:00,2036671.08869332,10.12
2012-08-07T00:00:00,2036671.08869332,11.23
2012-08-11T00:00:00,2036671.08869332,11.6
2012-08-15T00:00:00,2190865.97010286,12.3
2012-08-19T00:00:00,2190865.97010286,14.48
2012-08-23T00:00:00,2190865.97010286,10.26
2012-08-27T00:00:00,2440642.60691596,10.99
2012-08-31T00:00:00,2440642.60691596,10.91
2012-09-04T00:00:00,2440642.60691596,10.52
2012-09-08T00:00:00,2694047.95295501,11.27
2012-09-12T00:00:00,2694047.95295501,11.24
2012-09-16T00:00:00,2694047.95295501,11.84
2012-09-20T00:00:00,2864140.50781097,12.63
2012-09-24T00:00:00,2864140.50781097,12.28
2012-09-28T00:00:00,2864140.50781097,12.46
2012-10-02T00:00:00,2864140.50781097,12.58
2012-10-06T00:00:00,3054627.52694864,12.97
2012-10-10T00:00:00,3054627.52694864,12.3
2012-10-14T00:00:00,3054627.52694864,12.1
2012-10-18T00:00:00,3072321.73202076,11.98
2012-10-22T00:00:00,3072321.73202076,11.8
2012-10-26T00:00:00,3072321.73202076,11.56
2012-10-30T00:00:00,3304356.39299034,10.93
2012-11-03T00:00:00,3304356.39299034,11.06
2012-11-07T00:00:00,3304356.39299034,10.97
2012-11-11T00:00:00,3304356.39299034,10.95
2012-11-15T00:00:00,3368767.14053294,11.07
2012-11-19T00:00:00,3368767.14053294,11.82
2012-11-23T00:00:00,3368767.14053294,12.32
2012-11-27T00:00:00,3438908.96015914,12.62
2012-12-01T00:00:00,3438908.96015914,12.66
2012-12-05T00:00:00,3438908.96015914,13.09
2012-12-09T00:00:00,3438908.96015914,13.55
2012-12-13T00:00:00,3370181.79927784,13.8
2012-12-17T00:00:00,3370181.79927784,13.63
2012-12-21T00:00:00,3370181.79927784,13.7
2012-12-25T00:00:00,3370181.79927784,13.45
2012-12-29T00:00:00,2979636.61693807,13.65
2013-01-02T00:00:00,2979636.61693807,13.52
2013-01-06T00:00:00,2979636.61693807,13.54
2013-01-10T00:00:00,3249549.58448721,13.99
2013-01-14T00:00:00,3249549.58448721,14.31
2013-01-18T00:00:00,3249549.58448721,15.53
2013-01-22T00:00:00,3249549.58448721,17.13
2013-01-26T00:00:00,2968775.33207507,18.54
2013-01-30T00:00:00,2968775.33207507,19.78
2013-02-03T00:00:00,2968775.33207507,21
2013-02-07T00:00:00,3275464.58656562,21.53
2013-02-11T00:00:00,3275464.58656562,23.97
2013-02-15T00:00:00,3275464.58656562,27.2
2013-02-19T00:00:00,3651011.63069321,26.98
2013-02-23T00:00:00,3651011.63069321,30.52
2013-02-27T00:00:00,3651011.63069321,31.2
2013-03-03T00:00:00,4367876.0008422,34.25
2013-03-07T00:00:00,4367876.0008422,42
2013-03-11T00:00:00,4367876.0008422,45.6
2013-03-15T00:00:00,4847647.15206561,46.86
2013-03-19T00:00:00,4847647.15206561,52.12
2013-03-23T00:00:00,4847647.15206561,70.25
2013-03-27T00:00:00,6695826.28259625,78.79
2013-03-31T00:00:00,6695826.28259625,92.5
2013-04-04T00:00:00,6695826.28259625,131
2013-04-08T00:00:00,7672999.92016414,163.3
2013-04-12T00:00:00,7672999.92016414,124.9
2013-04-16T00:00:00,7672999.92016414,68.1
2013-04-20T00:00:00,8974296.01488785,118.92
2013-04-24T00:00:00,8974296.01488785,142.5
2013-04-28T00:00:00,8974296.01488785,128.5
2013-05-02T00:00:00,10076292.8834187,117
2013-05-06T00:00:00,10076292.8834187,115.98
2013-05-10T00:00:00,10076292.8834187,112.69
2013-05-14T00:00:00,11187257.4613608,117.99
2013-05-18T00:00:00,11187257.4613608,123.32
2013-05-22T00:00:00,11187257.4613608,122.7
2013-05-26T00:00:00,12153411.7097758,131.99
2013-05-30T00:00:00,12153411.7097758,132.3
2013-06-03T00:00:00,12153411.7097758,122.42
2013-06-07T00:00:00,15605632.6812859,118.97
2013-06-11T00:00:00,15605632.6812859,106.1
2013-06-15T00:00:00,15605632.6812859,99.98
2013-06-19T00:00:00,19339258.2723867,107.39
2013-06-23T00:00:00,19339258.2723867,108.35
2013-06-27T00:00:00,19339258.2723867,104
2013-07-01T00:00:00,21335329.113983,97.25
2013-07-05T00:00:00,21335329.113983,80.04
2013-07-09T00:00:00,21335329.113983,76.49
2013-07-13T00:00:00,26162875.6825699,93.99
2013-07-17T00:00:00,26162875.6825699,97.05
2013-07-21T00:00:00,26162875.6825699,89.39
2013-07-25T00:00:00,31256960.7277689,94.51
2013-07-29T00:00:00,31256960.7277689,98.7
2013-08-02T00:00:00,31256960.7277689,104.62
2013-08-06T00:00:00,37392766.1364746,106.72
2013-08-10T00:00:00,37392766.1364746,102.8
2013-08-14T00:00:00,50810339.0482765,109.35
2013-08-18T00:00:00,50810339.0482765,99.71
2013-08-22T00:00:00,50810339.0482765,110.43
2013-08-26T00:00:00,65750060.1490848,113.28
2013-08-30T00:00:00,65750060.1490848,118.5
2013-09-03T00:00:00,65750060.1490848,130.09
2013-09-07T00:00:00,86933017.7711944,117.61
2013-09-11T00:00:00,86933017.7711944,122.02
2013-09-15T00:00:00,112628548.666347,124.05
2013-09-19T00:00:00,112628548.666347,127.12
2013-09-23T00:00:00,112628548.666347,122.93
2013-09-27T00:00:00,148819199.805093,124.65
2013-10-01T00:00:00,148819199.805093,126.25
2013-10-05T00:00:00,148819199.805093,121.94
2013-10-09T00:00:00,189281249.281033,124.12
2013-10-13T00:00:00,189281249.281033,127.59
2013-10-17T00:00:00,267731249.482421,138.19
2013-10-21T00:00:00,267731249.482421,186.12
2013-10-25T00:00:00,267731249.482421,195.33
2013-10-29T00:00:00,390928787.638086,206.9
2013-11-02T00:00:00,390928787.638086,203
2013-11-06T00:00:00,510929738.016152,252.59
2013-11-10T00:00:00,510929738.016152,330
2013-11-14T00:00:00,510929738.016152,393
2013-11-18T00:00:00,609482679.888355,475
2013-11-22T00:00:00,609482679.888355,716.77
2013-11-26T00:00:00,609482679.888355,814.56
2013-11-30T00:00:00,707408283.051497,1133.95
2013-12-04T00:00:00,707408283.051497,1050.21
2013-12-08T00:00:00,707408283.051497,705.91
2013-12-12T00:00:00,908350862.437022,876.88
2013-12-16T00:00:00,908350862.437022,862.98
2013-12-20T00:00:00,908350862.437022,685.3
2013-12-24T00:00:00,1180923195.25803,659.99
2013-12-28T00:00:00,1180923195.25803,723.98
2014-01-01T00:00:00,1180923195.25803,732
2014-01-05T00:00:00,1418481395.26264,828.74
2014-01-09T00:00:00,1418481395.26264,823.3
2014-01-13T00:00:00,1789546951.05324,844.04
2014-01-17T00:00:00,1789546951.05324,817.15
2014-01-21T00:00:00,1789546951.05324,827.81
2014-01-25T00:00:00,2193847870.17428,780.02
2014-01-29T00:00:00,2193847870.17428,785.6
2014-02-02T00:00:00,2193847870.17428,817.08
2014-02-06T00:00:00,2621404453.06462,781
2014-02-10T00:00:00,2621404453.06462,687.37
2014-02-14T00:00:00,2621404453.06462,610
2014-02-18T00:00:00,3129573174.52229,629.96
2014-02-22T00:00:00,3129573174.52229,579.5
2014-02-26T00:00:00,3129573174.52229,559.52
2014-03-02T00:00:00,3815723798.81463,567.48
2014-03-06T00:00:00,3815723798.81463,670.7
2014-03-10T00:00:00,3815723798.81463,639.9
2014-03-14T00:00:00,4250217919.86954,641.01
2014-03-18T00:00:00,4250217919.86954,624.71
2014-03-22T00:00:00,4250217919.86954,572.89
2014-03-26T00:00:00,5006860589.2054,585.79
2014-03-30T00:00:00,5006860589.2054,490
2014-04-03T00:00:00,5006860589.2054,439.12
2014-04-07T00:00:00,6119726089.12815,458
2014-04-11T00:00:00,6119726089.12815,369
2014-04-15T00:00:00,6119726089.12815,459.64
2014-04-19T00:00:00,6978842649.59238,482.11
2014-04-23T00:00:00,6978842649.59238,488.52
2014-04-27T00:00:00,6978842649.59238,461.48
2014-05-01T00:00:00,8000872135.96816,452.03
2014-05-05T00:00:00,8000872135.96816,436.75
2014-05-09T00:00:00,8000872135.96816,437.61
2014-05-13T00:00:00,8853416309.1278,442.45
2014-05-17T00:00:00,8853416309.1278,449.12
